Date : 2026-08-14 10:46:52
Directory : /Users/philliphanson/Documents/Design/web/hson/hson-live
Total : 132 files,  11983 codes, 229 comments, 1801 blanks, all 14013 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |        105 |     10,015 |        227 |        959 |     11,201 |
| Markdown   |         18 |      1,375 |          0 |        810 |      2,185 |
| JavaScript |          7 |        571 |          2 |         32 |        605 |
| JSON       |          2 |         22 |          0 |          0 |         22 |
+------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                    | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                       |        132 |     11,983 |        229 |      1,801 |     14,013 |
| . (Files)                                                                                                               |          2 |        101 |          0 |         20 |        121 |
| benchmarks                                                                                                              |          1 |        324 |          2 |         19 |        345 |
| docs                                                                                                                    |         17 |      1,295 |          0 |        790 |      2,085 |
| docs (Files)                                                                                                            |          3 |        106 |          0 |         15 |        121 |
| docs/contracts                                                                                                          |          1 |         -2 |          0 |          0 |         -2 |
| docs/livehost                                                                                                           |          2 |       -220 |          0 |        -12 |       -232 |
| docs/livemap                                                                                                            |          4 |       -124 |          0 |        102 |        -22 |
| docs/livetree                                                                                                           |          1 |         29 |          0 |          3 |         32 |
| docs/plans                                                                                                              |          4 |        722 |          0 |        188 |        910 |
| docs/release-notes                                                                                                      |          1 |        973 |          0 |        494 |      1,467 |
| docs/transform                                                                                                          |          1 |       -189 |          0 |          0 |       -189 |
| src                                                                                                                     |         46 |      3,874 |         18 |        250 |      4,142 |
| src (Files)                                                                                                             |          2 |         38 |          0 |          0 |         38 |
| src/_tests                                                                                                              |          2 |        210 |          1 |          0 |        211 |
| src/api                                                                                                                 |         34 |      2,856 |         17 |        165 |      3,038 |
| src/api/livehost                                                                                                        |          8 |       -173 |          0 |        -21 |       -194 |
| src/api/liveinspect                                                                                                     |          1 |          1 |          0 |          0 |          1 |
| src/api/livemap                                                                                                         |         19 |      2,969 |         20 |        187 |      3,176 |
| src/api/livetree                                                                                                        |          5 |         47 |         -3 |         -1 |         43 |
| src/api/livetree (Files)                                                                                                |          2 |         35 |          5 |          0 |         40 |
| src/api/livetree/managers                                                                                               |          1 |         11 |          0 |         -2 |          9 |
| src/api/livetree/methods                                                                                                |          1 |          1 |          0 |          1 |          2 |
| src/api/livetree/quid                                                                                                   |          1 |          0 |         -8 |          0 |         -8 |
| src/api/transform                                                                                                       |          1 |         12 |          0 |          0 |         12 |
| src/core                                                                                                                |          3 |         82 |          9 |         12 |        103 |
| src/types                                                                                                               |          5 |        688 |         -9 |         73 |        752 |
| tests                                                                                                                   |         66 |      6,389 |        209 |        722 |      7,320 |
| tests (Files)                                                                                                           |         56 |      5,517 |        135 |        689 |      6,341 |
| tests/entrypoints                                                                                                       |          4 |        625 |         74 |         20 |        719 |
| tests/runtime-probes                                                                                                    |          6 |        247 |          0 |         13 |        260 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                | language   | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/philliphanson/Documents/Design/web/hson/hson-live/benchmarks/quid-scale.mjs                                      | JavaScript |        324 |          2 |         19 |        345 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/contracts/hson-node-representation.md                     | Markdown   |         -2 |          0 |          0 |         -2 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/hson-livehost.md                                          | Markdown   |          6 |          0 |          0 |          6 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/hson-livemap.md                                           | Markdown   |         97 |          0 |         15 |        112 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/hson-nodes.md                                             | Markdown   |          3 |          0 |          0 |          3 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livehost/api-livehost.md                                  | Markdown   |       -194 |          0 |          1 |       -193 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livehost/overview.md                                      | Markdown   |        -26 |          0 |        -13 |        -39 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livemap/api-livemap.md                                    | Markdown   |       -108 |          0 |         50 |        -58 |
| /Users/philliphanson/Documents/Design/web/hson/hson-live/docs/livemap/handle-proxy.md                                   | Markdown   |       -137 |          0 |         37 |       -100 |
